Date,Price,Open,High,Low,Vol.,Change %
8/23/2023,0.1952,0.1976,0.2078,0.1931,53.80M,-0.76%
8/22/2023,0.1967,0.2029,0.209,0.1932,101.96M,-2.96%
8/21/2023,0.2027,0.19,0.2186,0.189,417.87M,13.68%
8/18/2023,0.1783,0.1779,0.1985,0.173,317.74M,2.47%
8/17/2023,0.174,0.169,0.1767,0.1677,33.87M,4.07%
8/16/2023,0.1672,0.1726,0.1742,0.1645,34.15M,-2.79%
8/15/2023,0.172,0.1715,0.1746,0.1661,37.55M,0.35%
8/14/2023,0.1714,0.1783,0.1784,0.1711,51.29M,-1.89%
8/11/2023,0.1747,0.1767,0.185,0.1712,143.22M,0.87%
8/10/2023,0.1732,0.1677,0.1734,0.1659,28.71M,2.91%
8/9/2023,0.1683,0.1712,0.1712,0.1651,22.61M,0.24%
8/8/2023,0.1679,0.168,0.1694,0.1616,25.84M,-0.89%
8/7/2023,0.1694,0.169,0.1729,0.1664,41.26M,1.07%
8/4/2023,0.1676,0.1748,0.1805,0.165,97.86M,-3.51%
8/3/2023,0.1737,0.1752,0.1753,0.1697,43.18M,0.52%
8/2/2023,0.1728,0.1777,0.179,0.1693,93.98M,-1.37%
8/1/2023,0.1752,0.1655,0.179,0.1641,142.41M,6.83%
7/31/2023,0.164,0.1642,0.1676,0.1622,38.30M,0.43%
7/28/2023,0.1633,0.1629,0.1668,0.1589,25.19M,0.55%
7/27/2023,0.1624,0.1645,0.17,0.1601,64.78M,-0.98%
7/26/2023,0.164,0.1686,0.1716,0.1601,76.29M,-1.32%
7/25/2023,0.1662,0.162,0.17,0.1617,99.45M,2.85%
7/24/2023,0.1616,0.1574,0.1655,0.1574,23.68M,2.67%
7/21/2023,0.1574,0.1599,0.1609,0.156,16.51M,-1.01%
7/20/2023,0.159,0.1611,0.1636,0.1559,21.35M,-1.30%
7/19/2023,0.1611,0.1606,0.165,0.1556,57.14M,-0.98%
7/18/2023,0.1627,0.1665,0.168,0.1561,110.93M,-0.91%
7/17/2023,0.1642,0.1572,0.1719,0.1567,132.87M,4.45%
7/14/2023,0.1572,0.1545,0.1584,0.1515,52.35M,2.28%
7/13/2023,0.1537,0.1568,0.157,0.1533,6.93M,-1.09%
